seeds sown,source plants innoculated with PEMV,source plants stocked with 50 aphids,sheet,observer,assay date,start time,host species,pemv treatment,start adults,start nymphs,end adults,end nymphs,deleta nymphs,delta aphids,response type,total events,delta.sub.aphids,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1/11/2018,1/30/2018,2/7/2018,1,Logan,9-Feb,12:15 PM,Lentil,Absent,13,27,11,27,0,2,ladybug foraging,29,,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1/11/2018,1/30/2018,2/7/2018,1,Logan,9-Feb,12:15 PM,Lentil,Absent,13,27,11,27,0,2,feeding event,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,1,Logan,9-Feb,12:15 PM,Lentil,Absent,13,27,11,27,0,2,aphid dispersal,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2018,1/30/2018,2/7/2018,2,Dana,9-Feb,12:15 PM,Lentil,Absent,18,34,16,33,1,3,ladybug foraging,10,,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,2,Dana,9-Feb,12:15 PM,Lentil,Absent,18,34,16,33,1,3,feeding event,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,2,Dana,9-Feb,12:15 PM,Lentil,Absent,18,34,16,33,1,3,aphid dispersal,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,3,Dana,9-Feb,2:01 PM,Vetch,Absent,11,37,6,28,9,14,ladybug foraging,59,,0,1,1,3,2,4,2,1,1,1,2,2,4,3,3,3,3,3,2,2,3,2,2,1,1,2,2,1,1,1
1/11/2018,1/30/2018,2/7/2018,3,Dana,9-Feb,2:01 PM,Vetch,Absent,11,37,6,28,9,14,feeding event,13,,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0
1/11/2018,1/30/2018,2/7/2018,3,Dana,9-Feb,2:01 PM,Vetch,Absent,11,37,6,28,9,14,aphid dispersal,2,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,4,Logan,9-Feb,2:01 PM,Vetch,Absent,9,14,7,13,1,3,ladybug foraging,36,,0,1,1,2,0,0,2,1,1,1,1,0,0,0,0,1,0,3,5,2,3,2,2,2,2,1,1,0,1,1
1/11/2018,1/30/2018,2/7/2018,4,Logan,9-Feb,2:01 PM,Vetch,Absent,9,14,7,13,1,3,feeding event,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,4,Logan,9-Feb,2:01 PM,Vetch,Absent,9,14,7,13,1,3,aphid dispersal,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2018,1/30/2018,2/7/2018,5,Rob,9-Feb,2:15 PM,Pea,Absent,5,18,5,16,2,2,ladybug foraging,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,5,Rob,9-Feb,2:15 PM,Pea,Absent,5,18,5,16,2,2,feeding event,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,5,Rob,9-Feb,2:15 PM,Pea,Absent,5,18,5,16,2,2,aphid dispersal,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,6,Rob,9-Feb,2:15 PM,Pea,Absent,6,20,6,20,0,0,ladybug foraging,3,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,6,Rob,9-Feb,2:15 PM,Pea,Absent,6,20,6,20,0,0,feeding event,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,6,Rob,9-Feb,2:15 PM,Pea,Absent,6,20,6,20,0,1,aphid dispersal,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,7,Dana,9-Feb,2:51 PM,Lentil,Present,8,28,4,15,13,17,ladybug foraging,18,,2,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,7,Dana,9-Feb,2:51 PM,Lentil,Present,8,28,4,15,13,17,feeding event,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,7,Dana,9-Feb,2:51 PM,Lentil,Present,8,28,4,15,13,17,aphid dispersal,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,8,Logan,9-Feb,2:51 PM,Lentil,Present,9,17,1,4,13,21,ladybug foraging,23,,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,3,1,1,1,1,0,1,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,8,Logan,9-Feb,2:51 PM,Lentil,Present,9,17,1,4,13,21,feeding event,4,,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,8,Logan,9-Feb,2:51 PM,Lentil,Present,9,17,1,4,13,21,aphid dispersal,1,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,9,Rob,9-Feb,3:31 PM,Pea,Present,7,15,7,13,2,2,ladybug foraging,6,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,9,Rob,9-Feb,3:31 PM,Pea,Present,7,15,7,13,2,2,feeding event,2,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,9,Rob,9-Feb,3:31 PM,Pea,Present,7,15,7,13,2,2,aphid dispersal,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,10,Rob,9-Feb,3:31 PM,Pea,Present,6,15,6,15,0,0,ladybug foraging,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,10,Rob,9-Feb,3:31 PM,Pea,Present,6,15,6,15,0,0,feeding event,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,10,Rob,9-Feb,3:31 PM,Pea,Present,6,15,6,15,0,0,aphid dispersal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,11,Logan,9-Feb,3:33 PM,Vetch,Present,5,14,5,14,0,0,ladybug foraging,22,,0,0,0,1,1,1,0,2,2,2,2,2,1,1,1,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,11,Logan,9-Feb,3:33 PM,Vetch,Present,5,14,5,14,0,0,feeding event,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,11,Logan,9-Feb,3:33 PM,Vetch,Present,5,14,5,14,0,0,aphid dispersal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,12,Dana,9-Feb,3:33,Vetch,Present,12,27,5,7,20,27,ladybug foraging,11,,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,12,Dana,9-Feb,3:33,Vetch,Present,12,27,5,7,20,27,feeding event,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,12,Dana,9-Feb,3:33,Vetch,Present,12,27,5,7,20,27,aphid dispersal,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,13,Dana,16-Feb,12:29,Vetch,Absent,52,70,8,10,60,104,ladybug foraging,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,13,Dana,16-Feb,12:29,Vetch,Absent,52,70,8,10,60,104,feeding event,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,13,Dana,16-Feb,12:29,Vetch,Absent,52,70,8,10,60,104,aphid dispersal,1,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,14,Logan,16-Feb,12:29,Vetch,Absent,50,70,13,20,50,87,ladybug foraging,33,,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
1/11/2018,1/30/2018,2/7/2018,14,Logan,16-Feb,12:29,Vetch,Absent,50,70,13,20,50,87,feeding event,8,,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,14,Logan,16-Feb,12:29,Vetch,Absent,50,70,13,20,50,87,aphid dispersal,18,69,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,15,Dana,16-Feb,2:06,Lentil,Absent,37,42,22,35,7,22,ladybug foraging,3,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,15,Dana,16-Feb,2:06,Lentil,Absent,37,42,22,35,7,22,feeding event,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,15,Dana,16-Feb,2:06,Lentil,Absent,37,42,22,35,7,22,aphid dispersal,1,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,16,Logan,16-Feb,2:06 PM,Lentil,Absent,30,40,20,15,25,35,ladybug foraging,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/11/2018,1/30/2018,2/7/2018,16,Logan,16-Feb,2:06 PM,Lentil,Absent,30,40,20,15,25,35,feeding event,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
1/11/2018,1/30/2018,2/7/2018,16,Logan,16-Feb,2:06 PM,Lentil,Absent,30,40,20,15,25,35,aphid dispersal,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1/11/2018,1/30/2018,2/7/2018,17,Rob,16-Feb,2:06 PM,Pea,Absent,27,20,25,18,2,4,ladybug foraging,25,,0,0,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/11/2018,1/30/2018,2/7/2018,17,Rob,16-Feb,2:06 PM,Pea,Absent,27,20,25,18,2,4,feeding event,9,,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,17,Rob,16-Feb,2:06 PM,Pea,Absent,27,20,25,18,2,4,aphid dispersal,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,18,Rob,16-Feb,2:06 PM,Pea,Absent,10,13,3,4,9,16,ladybug foraging,15,,0,2,2,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,1
1/11/2018,1/30/2018,2/7/2018,18,Rob,16-Feb,2:06 PM,Pea,Absent,10,13,3,4,9,16,feeding event,3,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/11/2018,1/30/2018,2/7/2018,18,Rob,16-Feb,2:06 PM,Pea,Absent,10,13,3,4,9,16,aphid dispersal,13,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/11/2018,1/30/2018,2/7/2018,19,Logan,16-Feb,2:47 PM,Lentil,Present,25,20,25,20,0,0,ladybug foraging,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,19,Logan,16-Feb,2:47 PM,Lentil,Present,25,20,25,20,0,0,feeding event,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,19,Logan,16-Feb,2:47 PM,Lentil,Present,25,20,25,20,0,0,aphid dispersal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,20,Dana,16-Feb,2:47 PM,Lentil,Present,43,61,39,50,11,15,ladybug foraging,37,,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,3,3,2,2
1/11/2018,1/30/2018,2/7/2018,20,Dana,16-Feb,2:47 PM,Lentil,Present,43,61,39,50,11,15,feeding event,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,20,Dana,16-Feb,2:47 PM,Lentil,Present,43,61,39,50,11,15,aphid dispersal,13,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,21,Rob,16-Feb,2:47 PM,Pea,Present,100,100,30,50,50,120,ladybug foraging,23,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,21,Rob,16-Feb,2:47 PM,Pea,Present,100,100,30,50,50,120,feeding event,4,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,21,Rob,16-Feb,2:47 PM,Pea,Present,100,100,30,50,50,120,aphid dispersal,0,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2018,1/30/2018,2/7/2018,22,Rob,16-Feb,2:47 PM,Pea,Present,100,60,30,50,10,80,ladybug foraging,16,,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,22,Rob,16-Feb,2:47 PM,Pea,Present,100,60,30,50,10,80,feeding event,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,22,Rob,16-Feb,2:47 PM,Pea,Present,100,60,30,50,10,80,aphid dispersal,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2018,1/30/2018,2/7/2018,23,Logan,16-Feb,3:25,Vetch,Present,50,75,12,30,45,83,ladybug foraging,25,,1,2,1,1,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,1,3,2,2,1,1,1,1,1,1
1/11/2018,1/30/2018,2/7/2018,23,Logan,16-Feb,3:25,Vetch,Present,50,75,12,30,45,83,feeding event,3,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,23,Logan,16-Feb,3:25,Vetch,Present,50,75,12,30,45,83,aphid dispersal,1,82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,24,Dana,16-Feb,3:25,Vetch,Present,100,121,5,8,113,208,ladybug foraging,55,,0,1,2,4,3,4,3,2,1,1,2,2,2,1,2,0,1,2,3,2,2,1,1,1,2,2,2,2,2,2
1/11/2018,1/30/2018,2/7/2018,24,Dana,16-Feb,3:25,Vetch,Present,100,121,5,8,113,208,feeding event,4,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,24,Dana,16-Feb,3:25,Vetch,Present,100,121,5,8,113,208,aphid dispersal,4,204,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,25,Rob,17-Feb,8:13,Pea,Absent,20,30,7,4,26,39,ladybug foraging,27,,0,0,0,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,1,1,1,1
1/11/2018,1/30/2018,2/7/2018,25,Rob,17-Feb,8:13,Pea,Absent,20,30,7,4,26,39,feeding event,8,,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/11/2018,1/30/2018,2/7/2018,25,Rob,17-Feb,8:13,Pea,Absent,20,30,7,4,26,39,aphid dispersal,2,37,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,26,Rob,17-Feb,8:13,Pea,Absent,20,30,6,10,20,34,ladybug foraging,3,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,26,Rob,17-Feb,8:13,Pea,Absent,20,30,6,10,20,34,feeding event,3,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,26,Rob,17-Feb,8:13,Pea,Absent,20,30,6,10,20,34,aphid dispersal,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,27,Dana,17-Feb,8:48,Vetch,Present,47,63,20,37,26,53,ladybug foraging,38,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,2,2,2,1,2,2
1/11/2018,1/30/2018,2/7/2018,27,Dana,17-Feb,8:48,Vetch,Present,47,63,20,37,26,53,feeding event,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,27,Dana,17-Feb,8:48,Vetch,Present,47,63,20,37,26,53,aphid dispersal,2,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,28,Logan,17-Feb,8:48,Vetch,Present,26,40,10,15,25,41,ladybug foraging,38,,1,2,1,1,2,3,2,2,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1
1/11/2018,1/30/2018,2/7/2018,28,Logan,17-Feb,8:48,Vetch,Present,26,40,10,15,25,41,feeding event,3,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,28,Logan,17-Feb,8:48,Vetch,Present,26,40,10,15,25,41,aphid dispersal,3,38,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,29,Rob,17-Feb,9:00 AM,Vetch,Absent,30,60,4,12,48,74,ladybug foraging,24,,1,2,2,2,2,0,0,0,2,0,1,0,1,0,0,0,0,1,1,1,0,1,2,1,1,1,1,1,0,0
1/11/2018,1/30/2018,2/7/2018,29,Rob,17-Feb,9:00 AM,Vetch,Absent,30,60,4,12,48,74,feeding event,4,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,29,Rob,17-Feb,9:00 AM,Vetch,Absent,30,60,4,12,48,74,aphid dispersal,6,68,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,30,Rob,17-Feb,9:00 AM,Vetch,Absent,10,30,0,0,30,40,ladybug foraging,4,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,30,Rob,17-Feb,9:00 AM,Vetch,Absent,10,30,0,0,30,40,feeding event,1,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,30,Rob,17-Feb,9:00 AM,Vetch,Absent,10,30,0,0,30,40,aphid dispersal,1,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,31,Dana,17-Feb,9:33,Pea,Present,34,49,30,41,8,12,ladybug foraging,9,,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,31,Dana,17-Feb,9:33,Pea,Present,34,49,30,41,8,12,feeding event,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,31,Dana,17-Feb,9:33,Pea,Present,34,49,30,41,8,12,aphid dispersal,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,32,Dana,17-Feb,9:33,Pea,Present,51,65,46,64,1,6,ladybug foraging,30,,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
1/11/2018,1/30/2018,2/7/2018,32,Dana,17-Feb,9:33,Pea,Present,51,65,46,64,1,6,feeding event,3,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,32,Dana,17-Feb,9:33,Pea,Present,51,65,46,64,1,6,aphid dispersal,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,33,Logan,17-Feb,9:33,Lentil,Present,30,20,30,20,0,0,ladybug foraging,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,33,Logan,17-Feb,9:33,Lentil,Present,30,20,30,20,0,0,feeding event,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,33,Logan,17-Feb,9:33,Lentil,Present,30,20,30,20,0,0,aphid dispersal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2018,1/30/2018,2/7/2018,34,Logan,17-Feb,9:33,Lentil,Present,25,40,11,15,25,39,ladybug foraging,22,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
1/11/2018,1/30/2018,2/7/2018,34,Logan,17-Feb,9:33,Lentil,Present,25,40,11,15,25,39,feeding event,4,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1/11/2018,1/30/2018,2/7/2018,34,Logan,17-Feb,9:33,Lentil,Present,25,40,11,15,25,39,aphid dispersal,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
